county,city,combined_rate,reporting_code,includes_mctd,effective_date,source_url,notes,rate_percent
Tompkins,,0.08,5081,False,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,County default (except listed cities),8
Tompkins,Ithaca,0.08,5021,False,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,City override,8
Ulster,,0.08,5111,False,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,,8
Warren,,0.07,5281,False,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,County default (except listed cities),7
Warren,Glens Falls,0.07,5211,False,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,City override,7
Washington,,0.07,5311,False,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,,7
Wayne,,0.08,5421,False,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,,8
Westchester,,0.08375,5581,True,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,County default (except listed cities) + includes MCTD,8⅜
Westchester,Mount Vernon,0.08375,5521,True,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,City override + includes MCTD,8⅜
Westchester,New Rochelle,0.08375,6861,True,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,City override + includes MCTD,8⅜
Westchester,White Plains,0.08375,6513,True,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,City override + includes MCTD,8⅜
Westchester,Yonkers,0.08875,6511,True,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,City override + includes MCTD,8⅞
Wyoming,,0.08,5621,False,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,,8
Yates,,0.08,5721,False,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,,8
Bronx,New York,0.08875,8081,True,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,Generated from Pub 718 note: see New York City,8⅞
Bronx,,0.08875,8081,True,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,Generated from Pub 718 note: see New York City,8⅞
Kings,New York,0.08875,8081,True,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,Generated from Pub 718 note: see New York City,8⅞
Kings,,0.08875,8081,True,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,Generated from Pub 718 note: see New York City,8⅞
New York,New York,0.08875,8081,True,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,Generated from Pub 718 note: see New York City,8⅞
New York,,0.08875,8081,True,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,Generated from Pub 718 note: see New York City,8⅞
Queens,New York,0.08875,8081,True,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,Generated from Pub 718 note: see New York City,8⅞
Queens,,0.08875,8081,True,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,Generated from Pub 718 note: see New York City,8⅞
Richmond,New York,0.08875,8081,True,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,Generated from Pub 718 note: see New York City,8⅞
Richmond,,0.08875,8081,True,2025-03-01,https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf,Generated from Pub 718 note: see New York City,8⅞
